city,state_name,lat,lng,id
Big Lake,Washington,48.3933,-122.2422,1840017313
Boyds,Washington,48.7245,-118.1321,1840026091
Parkwood,Washington,47.5266,-122.5986,1840037518
Deer Park,Washington,47.9642,-117.4397,1840018400
Humptulips,Washington,47.2491,-123.9348,1840017361
SeaTac,Washington,47.4445,-122.2986,1840021116
Maple Valley,Washington,47.3659,-122.0368,1840019828
Millwood,Washington,47.6856,-117.2806,1840022289
Point Roberts,Washington,48.9883,-123.0576,1840025234
Dixie,Washington,46.1392,-118.1480,1840018487
East Port Orchard,Washington,47.5193,-122.6183,1840037838
Morton,Washington,46.5575,-122.2815,1840019882
Alger,Washington,48.6176,-122.3369,1840017312
Kahlotus,Washington,46.6437,-118.5556,1840018478
Fife Heights,Washington,47.2593,-122.3457,1840037653
